barnes01_001|Again war.|Again war.
barnes01_002|Again sufferings, necessary to nobody, utterly uncalled for;|Again sufferings, necessary to nobody, utterly uncalled for;
barnes01_003|again fraud; again the universal stupefaction and brutalization of men.|again fraud; again the universal stupefaction and brutalization of men.
barnes01_004|Men who are separated from each other by thousands of miles,|Men who are separated from each other by thousands of miles,
barnes01_005|hundreds of thousands of such men,|hundreds of thousands of such men,
barnes01_006|on the one hand - Buddhists, whose law forbids the killing, not only of men, but of animals;|on the one hand - Buddhists, whose law forbids the killing, not only of men, but of animals;
barnes01_007|on the other hand - Christians,|on the other hand - Christians,
barnes01_008|professing the law of brotherhood and love,|professing the law of brotherhood and love,
barnes01_009|like wild beasts on land and on sea are seeking out each other, in order to kill, torture, and humiliate each other in the most cruel way.|like wild beasts on land and on sea are seeking out each other, in order to kill, torture, and humiliate each other in the most cruel way.
barnes01_010|What can this be?|What can this be?
barnes01_011|Is it a dream or a reality?|Is it a dream or a reality?
barnes01_012|Something is taking place which should not, cannot be;|Something is taking place which should not, cannot be;
barnes01_013|one longs to believe that it is a dream and to awake from it.|one longs to believe that it is a dream and to awake from it.
barnes01_014|But no, it is not a dream,|But no, it is not a dream,
barnes01_015|it is a dreadful reality!|it is a dreadful reality!
barnes01_016|One could yet understand how a poor, uneducated, defrauded Japanese, torn from his field and taught that Buddhism consists not in compassion to all that lives, but in sacrifices to idols,|One could yet understand how a poor, uneducated, defrauded Japanese, torn from his field and taught that Buddhism consists not in compassion to all that lives, but in sacrifices to idols,
barnes01_017|and how a similar poor illiterate fellow from the neighborhood of Toula or Nijni Novgorod,|and how a similar poor illiterate fellow from the neighborhood of Toula or Nijni Novgorod,
barnes01_018|who had been taught that Christianity consists in worshipping Christ, the Madonna, Saints, and their ikons,|who had been taught that Christianity consists in worshipping Christ, the Madonna, Saints, and their ikons,
barnes01_019|one could understand how these unfortunate men,|one could understand how these unfortunate men,
barnes01_020|brought by the violence and deceit of centuries to recognize the greatest crime in the world - the murder of one's brethren,|brought by the violence and deceit of centuries to recognize the greatest crime in the world - the murder of one's brethren,
barnes01_021|as a virtuous act,|as a virtuous act,
barnes01_022|can commit these dreadful deeds, without regarding themselves as being guilty in so doing.|can commit these dreadful deeds, without regarding themselves as being guilty in so doing.
barnes01_023|But how can so-called enlightened men preach war, support it, participate in it,|But how can so-called enlightened men preach war, support it, participate in it,
barnes01_024|and, worst of all, without suffering the dangers of war themselves, incite others to it,|and, worst of all, without suffering the dangers of war themselves, incite others to it,
barnes01_025|sending their unfortunate defrauded brothers to fight?|sending their unfortunate defrauded brothers to fight?
barnes01_026|These so-called enlightened men cannot possibly ignore, I do not say the Christian law, if they recognize themselves to be Christians,|These so-called enlightened men cannot possibly ignore, I do not say the Christian law, if they recognize themselves to be Christians,
